record_id,y_true,score,source_variant,_score,_y_true,_y_pred,_false_positive,_false_negative
56888,1,0.0,detector_only,0.0,1,0,0,1
67886,1,0.0373938076335755,detector_only,0.0373938076335755,1,0,0,1
66127,1,0.0460066369275172,detector_only,0.0460066369275172,1,0,0,1
60807,1,0.0461512230220996,detector_only,0.0461512230220996,1,0,0,1
61499,1,0.0610136164462645,detector_only,0.0610136164462645,1,0,0,1
59989,1,0.0610136164462645,detector_only,0.0610136164462645,1,0,0,1
56197,1,0.0610136164462645,detector_only,0.0610136164462645,1,0,0,1
56611,1,0.0662341473316926,detector_only,0.0662341473316926,1,0,0,1
65601,1,0.0662754962810866,detector_only,0.0662754962810866,1,0,0,1
65245,1,0.0715733468427688,detector_only,0.0715733468427688,1,0,0,1
66603,1,0.0732916812149775,detector_only,0.0732916812149775,1,0,0,1
69635,1,0.0769707949766319,detector_only,0.0769707949766319,1,0,0,1
57803,1,0.0773016947544208,detector_only,0.0773016947544208,1,0,0,1
66252,1,0.0775755822824194,detector_only,0.0775755822824194,1,0,0,1
70645,1,0.0784155818234159,detector_only,0.0784155818234159,1,0,0,1
56406,1,0.0794071606937551,detector_only,0.0794071606937551,1,0,0,1
55753,1,0.0797783430492288,detector_only,0.0797783430492288,1,0,0,1
68046,1,0.0811681731163286,detector_only,0.0811681731163286,1,0,0,1
69727,1,0.0817825114035124,detector_only,0.0817825114035124,1,0,0,1
57315,1,0.0822304879767168,detector_only,0.0822304879767168,1,0,0,1
55832,1,0.0822654850598425,detector_only,0.0822654850598425,1,0,0,1
66153,1,0.0826150077058878,detector_only,0.0826150077058878,1,0,0,1
65268,1,0.0843955548218024,detector_only,0.0843955548218024,1,0,0,1
59070,1,0.0846000045513981,detector_only,0.0846000045513981,1,0,0,1
56969,1,0.0850463197483888,detector_only,0.0850463197483888,1,0,0,1
63321,1,0.0867800546917322,detector_only,0.0867800546917322,1,0,0,1
68752,1,0.0875943840383936,detector_only,0.0875943840383936,1,0,0,1
60657,1,0.0876189724063569,detector_only,0.0876189724063569,1,0,0,1
63552,1,0.0880713612856918,detector_only,0.0880713612856918,1,0,0,1
69507,1,0.0881251280563671,detector_only,0.0881251280563671,1,0,0,1
58732,1,0.0885409048403499,detector_only,0.0885409048403499,1,0,0,1
62614,1,0.0885548217638892,detector_only,0.0885548217638892,1,0,0,1
71287,1,0.0887514205249585,detector_only,0.0887514205249585,1,0,0,1
64326,1,0.089098223150412,detector_only,0.089098223150412,1,0,0,1
70609,1,0.0894006786219556,detector_only,0.0894006786219556,1,0,0,1
64667,1,0.0899412440779182,detector_only,0.0899412440779182,1,0,0,1
66984,1,0.0903251842572471,detector_only,0.0903251842572471,1,0,0,1
69553,1,0.0903551199384193,detector_only,0.0903551199384193,1,0,0,1
60195,1,0.0908997731526008,detector_only,0.0908997731526008,1,0,0,1
64525,1,0.091131446270108,detector_only,0.091131446270108,1,0,0,1
57173,1,0.0916500506507243,detector_only,0.0916500506507243,1,0,0,1
65287,1,0.0922139217376665,detector_only,0.0922139217376665,1,0,0,1
61414,1,0.0923930026388449,detector_only,0.0923930026388449,1,0,0,1
55163,1,0.0935977399410721,detector_only,0.0935977399410721,1,0,0,1
65920,1,0.0940462960641186,detector_only,0.0940462960641186,1,0,0,1
63561,1,0.095576384920314,detector_only,0.095576384920314,1,0,0,1
61134,1,0.0956524527689094,detector_only,0.0956524527689094,1,0,0,1
56494,1,0.0958624507223258,detector_only,0.0958624507223258,1,0,0,1
61472,1,0.0960228237546043,detector_only,0.0960228237546043,1,0,0,1
69461,1,0.0961419173834699,detector_only,0.0961419173834699,1,0,0,1
